date_key,year,month,day,weekday,is_weekend
2011-04-07,2011,4,7,3,0
2011-09-10,2011,9,10,5,1
2013-04-08,2013,4,8,0,0
2012-09-25,2012,9,25,1,0
2013-05-22,2013,5,22,2,0
2012-12-24,2012,12,24,0,0
2012-04-04,2012,4,4,2,0
2013-10-05,2013,10,5,5,1
2013-11-09,2013,11,9,5,1
2013-12-11,2013,12,11,2,0
2013-09-06,2013,9,6,4,0
2013-11-11,2013,11,11,0,0
2013-06-03,2013,6,3,0,0
2011-12-31,2011,12,31,5,1
2013-06-14,2013,6,14,4,0
2009-10-13,2009,10,13,1,0
2012-11-19,2012,11,19,0,0
2013-11-12,2013,11,12,1,0
2013-04-30,2013,4,30,1,0
2013-01-15,2013,1,15,1,0
2013-10-06,2013,10,6,6,1
2012-10-23,2012,10,23,1,0
2011-12-22,2011,12,22,3,0
2010-04-14,2010,4,14,2,0
2011-04-26,2011,4,26,1,0
2011-09-28,2011,9,28,2,0
2013-03-14,2013,3,14,3,0
2013-09-25,2013,9,25,2,0
2011-04-15,2011,4,15,4,0
2009-02-04,2009,2,4,2,0
2013-05-15,2013,5,15,2,0
2008-09-28,2008,9,28,6,1
2013-09-05,2013,9,5,3,0
2013-06-20,2013,6,20,3,0
2013-03-08,2013,3,8,4,0
2013-11-07,2013,11,7,3,0
2013-11-15,2013,11,15,4,0
2009-06-10,2009,6,10,2,0
2013-04-19,2013,4,19,4,0
2013-05-09,2013,5,9,3,0
2012-04-20,2012,4,20,4,0
2012-04-09,2012,4,9,0,0
2013-11-22,2013,11,22,4,0
2014-01-01,2014,1,1,2,0
2013-08-21,2013,8,21,2,0
2013-03-09,2013,3,9,5,1
2013-08-29,2013,8,29,3,0
2013-09-15,2013,9,15,6,1
2012-07-04,2012,7,4,2,0
2013-07-17,2013,7,17,2,0
2013-08-15,2013,8,15,3,0
2013-06-12,2013,6,12,2,0
2013-12-16,2013,12,16,0,0
2012-08-03,2012,8,3,4,0
2011-08-23,2011,8,23,1,0
2013-07-09,2013,7,9,1,0
2012-11-30,2012,11,30,4,0
2008-04-07,2008,4,7,0,0
2013-08-02,2013,8,2,4,0
2013-05-13,2013,5,13,0,0
2012-03-26,2012,3,26,0,0
2012-05-04,2012,5,4,4,0
2013-12-31,2013,12,31,1,0
2013-12-03,2013,12,3,1,0
2013-12-12,2013,12,12,3,0
2013-01-05,2013,1,5,5,1
2013-02-26,2013,2,26,1,0
2013-10-21,2013,10,21,0,0
2011-12-10,2011,12,10,5,1
2013-11-21,2013,11,21,3,0
2012-04-06,2012,4,6,4,0
2010-12-14,2010,12,14,1,0
2011-11-11,2011,11,11,4,0
2013-09-08,2013,9,8,6,1
2013-10-14,2013,10,14,0,0
2011-01-05,2011,1,5,2,0
2012-01-04,2012,1,4,2,0
2012-03-20,2012,3,20,1,0
2013-04-28,2013,4,28,6,1
2012-07-28,2012,7,28,5,1
2013-07-22,2013,7,22,0,0
2012-05-29,2012,5,29,1,0
2013-06-06,2013,6,6,3,0
2013-07-19,2013,7,19,4,0
2013-01-20,2013,1,20,6,1
2013-09-09,2013,9,9,0,0
2011-12-16,2011,12,16,4,0
2012-11-04,2012,11,4,6,1
2013-10-11,2013,10,11,4,0
2012-07-14,2012,7,14,5,1
2013-09-12,2013,9,12,3,0
2013-12-25,2013,12,25,2,0
2013-12-23,2013,12,23,0,0
2013-05-28,2013,5,28,1,0
2012-05-26,2012,5,26,5,1
2011-08-28,2011,8,28,6,1
2013-11-16,2013,11,16,5,1
2013-12-13,2013,12,13,4,0
2013-03-16,2013,3,16,5,1
2011-09-24,2011,9,24,5,1
2010-01-10,2010,1,10,6,1
2013-09-24,2013,9,24,1,0
2008-02-08,2008,2,8,4,0
2012-02-13,2012,2,13,0,0
2013-04-11,2013,4,11,3,0
2012-06-07,2012,6,7,3,0
2008-08-20,2008,8,20,2,0
2009-05-17,2009,5,17,6,1
2009-11-12,2009,11,12,3,0
2007-04-22,2007,4,22,6,1
2009-05-19,2009,5,19,1,0
2011-11-08,2011,11,8,1,0
2011-11-19,2011,11,19,5,1
2008-06-27,2008,6,27,4,0
2011-11-02,2011,11,2,2,0
2013-10-02,2013,10,2,2,0
2013-01-04,2013,1,4,4,0
2010-08-17,2010,8,17,1,0
2010-07-23,2010,7,23,4,0
2009-01-21,2009,1,21,2,0
2012-02-06,2012,2,6,0,0
2008-02-19,2008,2,19,1,0
2010-04-09,2010,4,9,4,0
2011-01-04,2011,1,4,1,0
2010-09-07,2010,9,7,1,0
2011-01-31,2011,1,31,0,0
2011-02-15,2011,2,15,1,0
2011-07-13,2011,7,13,2,0
2008-07-16,2008,7,16,2,0
2008-12-12,2008,12,12,4,0
2011-12-15,2011,12,15,3,0
2012-05-16,2012,5,16,2,0
2010-06-15,2010,6,15,1,0
2013-12-26,2013,12,26,3,0
2009-03-03,2009,3,3,1,0
2013-11-02,2013,11,2,5,1
2011-12-08,2011,12,8,3,0
2009-04-16,2009,4,16,3,0
2010-01-18,2010,1,18,0,0
2011-12-13,2011,12,13,1,0
2012-08-15,2012,8,15,2,0
2010-12-26,2010,12,26,6,1
2012-12-08,2012,12,8,5,1
2010-06-24,2010,6,24,3,0
2013-09-17,2013,9,17,1,0
2012-09-11,2012,9,11,1,0
2010-07-14,2010,7,14,2,0
2010-03-01,2010,3,1,0,0
2012-06-01,2012,6,1,4,0
2012-04-19,2012,4,19,3,0
2006-02-08,2006,2,8,2,0
2013-06-05,2013,6,5,2,0
2010-03-02,2010,3,2,1,0
2009-06-01,2009,6,1,0,0
2012-03-19,2012,3,19,0,0
2013-04-18,2013,4,18,3,0
2011-07-28,2011,7,28,3,0
2011-03-08,2011,3,8,1,0
2012-08-25,2012,8,25,5,1
2011-07-04,2011,7,4,0,0
2010-03-14,2010,3,14,6,1
2011-04-14,2011,4,14,3,0
2013-06-17,2013,6,17,0,0
2013-04-24,2013,4,24,2,0
2009-12-30,2009,12,30,2,0
2010-01-02,2010,1,2,5,1
2012-06-13,2012,6,13,2,0
2010-12-15,2010,12,15,2,0
2012-04-03,2012,4,3,1,0
2012-01-07,2012,1,7,5,1
2011-01-17,2011,1,17,0,0
2013-10-26,2013,10,26,5,1
2012-12-20,2012,12,20,3,0
2010-12-27,2010,12,27,0,0
2011-10-29,2011,10,29,5,1
2011-02-04,2011,2,4,4,0
2012-07-03,2012,7,3,1,0
2013-01-12,2013,1,12,5,1
2013-03-17,2013,3,17,6,1
2013-07-18,2013,7,18,3,0
2011-09-25,2011,9,25,6,1
2011-10-11,2011,10,11,1,0
2013-07-15,2013,7,15,0,0
2011-10-07,2011,10,7,4,0
2012-10-20,2012,10,20,5,1
2011-02-26,2011,2,26,5,1
2010-10-09,2010,10,9,5,1
2013-02-03,2013,2,3,6,1
2008-10-30,2008,10,30,3,0
2013-10-22,2013,10,22,1,0
2010-06-22,2010,6,22,1,0
2011-08-19,2011,8,19,4,0
2009-10-16,2009,10,16,4,0
2008-09-05,2008,9,5,4,0
2012-05-10,2012,5,10,3,0
2012-08-05,2012,8,5,6,1
2011-11-09,2011,11,9,2,0
2011-08-07,2011,8,7,6,1
2009-02-28,2009,2,28,5,1
2013-05-10,2013,5,10,4,0
2013-04-29,2013,4,29,0,0
2012-04-07,2012,4,7,5,1
2013-08-08,2013,8,8,3,0
2008-05-19,2008,5,19,0,0
2012-03-23,2012,3,23,4,0
2008-06-01,2008,6,1,6,1
2012-08-19,2012,8,19,6,1
2011-06-20,2011,6,20,0,0
2013-01-18,2013,1,18,4,0
2012-07-06,2012,7,6,4,0
2012-07-13,2012,7,13,4,0
2011-03-12,2011,3,12,5,1
2012-05-21,2012,5,21,0,0
2011-12-26,2011,12,26,0,0
2012-01-20,2012,1,20,4,0
2012-04-17,2012,4,17,1,0
2012-10-26,2012,10,26,4,0
2012-03-04,2012,3,4,6,1
2012-06-17,2012,6,17,6,1
2013-07-05,2013,7,5,4,0
2011-03-09,2011,3,9,2,0
2012-06-05,2012,6,5,1,0
2012-11-02,2012,11,2,4,0
2012-10-04,2012,10,4,3,0
2011-12-06,2011,12,6,1,0
2013-06-19,2013,6,19,2,0
2013-12-30,2013,12,30,0,0
2005-02-22,2005,2,22,1,0
2008-08-30,2008,8,30,5,1
2013-04-22,2013,4,22,0,0
2013-07-16,2013,7,16,1,0
2011-06-09,2011,6,9,3,0
2012-08-26,2012,8,26,6,1
2011-08-15,2011,8,15,0,0
2013-05-05,2013,5,5,6,1
2012-12-04,2012,12,4,1,0
2012-12-15,2012,12,15,5,1
2013-08-01,2013,8,1,3,0
2012-05-12,2012,5,12,5,1
2012-07-08,2012,7,8,6,1
2011-12-14,2011,12,14,2,0
2012-08-07,2012,8,7,1,0
2012-04-27,2012,4,27,4,0
2013-08-30,2013,8,30,4,0
2012-11-22,2012,11,22,3,0
2012-05-08,2012,5,8,1,0
2011-12-28,2011,12,28,2,0
2011-09-08,2011,9,8,3,0
2011-12-05,2011,12,5,0,0
2011-10-27,2011,10,27,3,0
2009-12-31,2009,12,31,3,0
2011-08-26,2011,8,26,4,0
2013-02-05,2013,2,5,1,0
2011-06-25,2011,6,25,5,1
2012-03-17,2012,3,17,5,1
2013-01-24,2013,1,24,3,0
2012-11-29,2012,11,29,3,0
2013-05-17,2013,5,17,4,0
2011-02-17,2011,2,17,3,0
2010-12-02,2010,12,2,3,0
2013-04-07,2013,4,7,6,1
2011-08-18,2011,8,18,3,0
2013-09-26,2013,9,26,3,0
2012-08-09,2012,8,9,3,0
2012-10-12,2012,10,12,4,0
2012-02-21,2012,2,21,1,0
2012-10-09,2012,10,9,1,0
2011-12-19,2011,12,19,0,0
2012-05-31,2012,5,31,3,0
2012-03-06,2012,3,6,1,0
2013-07-13,2013,7,13,5,1
2012-07-11,2012,7,11,2,0
2013-01-02,2013,1,2,2,0
2012-06-25,2012,6,25,0,0
2012-11-28,2012,11,28,2,0
2013-04-05,2013,4,5,4,0
2013-05-03,2013,5,3,4,0
2012-08-21,2012,8,21,1,0
2013-07-25,2013,7,25,3,0
2012-09-17,2012,9,17,0,0
2013-07-30,2013,7,30,1,0
2012-03-30,2012,3,30,4,0
2009-06-23,2009,6,23,1,0
2013-05-30,2013,5,30,3,0
2011-02-10,2011,2,10,3,0
2012-06-21,2012,6,21,3,0
2012-04-21,2012,4,21,5,1
2013-05-31,2013,5,31,4,0
2009-06-21,2009,6,21,6,1
2013-03-07,2013,3,7,3,0
2012-06-22,2012,6,22,4,0
2012-12-05,2012,12,5,2,0
2012-04-10,2012,4,10,1,0
2012-12-10,2012,12,10,0,0
2010-04-22,2010,4,22,3,0
2012-10-08,2012,10,8,0,0
2012-01-16,2012,1,16,0,0
2013-08-24,2013,8,24,5,1
2012-08-30,2012,8,30,3,0
2009-01-11,2009,1,11,6,1
2012-02-08,2012,2,8,2,0
2012-12-29,2012,12,29,5,1
2013-09-10,2013,9,10,1,0
2011-03-18,2011,3,18,4,0
2011-11-28,2011,11,28,0,0
2008-06-04,2008,6,4,2,0
2013-03-26,2013,3,26,1,0
2011-06-14,2011,6,14,1,0
2012-05-25,2012,5,25,4,0
2013-03-06,2013,3,6,2,0
2013-08-13,2013,8,13,1,0
2013-04-17,2013,4,17,2,0
2013-05-12,2013,5,12,6,1
